ISSUE ID,FACTOR NAME,ISSUE TYPE TITLE,ISSUE TYPE CODE,ISSUE TYPE SEVERITY,ISSUE RECOMMENDATION,FIRST SEEN,LAST SEEN,IP ADDRESSES,HOSTNAME,SUBDOMAIN,TARGET,PORTS,STATUS,CVE,DESCRIPTION,TIME SINCE PUBLISHED,TIME OPEN SINCE PUBLISHED,COOKIE NAME,DATA,COMMON NAME,KEY LENGTH,USING RC4?,ISSUER ORGANIZATION NAME,PROVIDER,DETECTED SERVICE,PRODUCT,VERSION,PLATFORM,BROWSER,DESTINATION IPS,MALWARE FAMILY,MALWARE TYPE,DETECTION METHOD,LABEL,INITIAL URL,FINAL URL,REQUEST CHAIN,HEADERS,ANALYSIS,% OF SIMILAR COMPANIES WITH THE ISSUE,AVERAGE FINDINGS (similar companies),ISSUE TYPE SCORE IMPACT
0fafe9c1-263e-55e5-be57-58291d71d1dd,Application Security,Content Security Policy (CSP) Missing,csp_no_policy_v2,LOW,"'- Implement a Content Security Policy (CSP) by configuring HTTP headers on your web server.
'- Clearly define trusted sources for scripts, styles, images, fonts, etc., using directives like 'script'-src,' 'style'-src,' 'img'-src.'
'- Use nonce or hash values for inline scripts and styles to allow specific exceptions while maintaining security.
'- Regularly review and update the CSP configuration to adapt to changes and emerging security threats.
'- Test the effectiveness of the CSP by simulating potential attack scenarios and monitor violation reports.
'- Educate development teams on CSPs and secure coding practices to prevent the introduction of vulnerabilities.
'- Consider incremental deployment, starting with a more permissive policy and gradually tightening restrictions.
",01/02/2026,02/24/2026,,hnbgeneral.com,,,,active,,,,,,,,,,,,,,,,,,,,,,,https://webmail.hnbgeneral.com/,,No content security policy directives found.,,,,0.61
b9547973-14d2-53f4-9f05-8de64aa9370a,Application Security,Content Security Policy Contains Broad Directives,csp_too_broad_v2,LOW,"'- Specify exact domains for trusted sources in directives like 'script'-src' and 'style'-src' instead of using overly broad values like '', 'http:', or 'http://'.
'- Minimize the use of wildcard characters and avoid permissive settings to enhance the precision of the Content Security Policy (CSP).
'- Utilize HTTPS to secure connections and minimize risks associated with loading resources from untrusted or potentially unsecure sources.
'- Implement nonce or hash values for inline scripts to maintain security while allowing specific exceptions.
'- Regularly review and update the CSP configuration to adapt to changes in the application and address emerging security concerns.
'- Test and monitor the CSP to ensure its effectiveness, identifying and addressing any unexpected behavior or attempts to bypass security measures.
'- Educate development teams on the importance of a well'-defined and specific CSP to strengthen overall web security.
",10/30/2025,03/03/2026,,hnbgeneral.com,,,,active,,,,,,,,,,,,,,,,,,,,,,,https://www.hnbgeneral.com/,,frame-ancestors 'self';,,,,0.15
58652e4b-df51-58a3-8a37-d442ec79a291,Application Security,Website Does Not Implement HSTS Best Practices,hsts_incorrect_v2,LOW,"'- Implement HTTP Strict Transport Security (HSTS) on your web server.
'- Configure the HSTS header to instruct browsers to only connect to your website over HTTPS.
'- Set an appropriate max'-age directive to specify the duration (in seconds) for which the HSTS policy should be enforced. 
'- Include the 'includeSubDomains' directive, if applicable, extending HSTS protection to subdomains.
'- Ensure all resources on your website, including third'-party content, are available over HTTPS to avoid mixed content issues.
'- Regularly review and update the HSTS policy to adapt to changes in your website and security best practices.
'- Test the effectiveness of HSTS implementation to verify that browsers properly enforce secure connections.
'- An acceptable HSTS header would declare: ""Strict'-Transport'-Security: max'-age=31536000; includeSubDomains;""
",01/02/2026,02/24/2026,,hnbgeneral.com,,,,active,,,,,,,,,,,,,,,,,,,,,,,https://webmail.hnbgeneral.com/,,,No HSTS header found,,,0.12
226757b8-841b-5ad7-a696-19d324894325,Application Security,Unsafe Implementation Of Subresource Integrity,unsafe_sri_v2,HIGH,"'- Ensure accurate cryptographic hashes are specified for all externally loaded resources using SRI attributes in the HTML.
'- Routinely review and update cryptographic hashes to align with changes in resource content.
'- Implement robust input validation and sanitization practices to prevent injection attacks.
'- Use CSP to restrict resource sources. This adds an extra layer of control over content execution.
'- Conduct regular security audits and penetration testing to promptly identify and address vulnerabilities.
",10/30/2025,03/03/2026,,hnbgeneral.com,,,,active,,,,,,,,,,,,,,,,,,,,,,,https://www.hnbgeneral.com/,,"<link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.0.0-beta.3/assets/owl.carousel.min.css"">,<link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.0.0-beta.3/assets/owl.theme.default.min.css"">,<link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css"">,<link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css"">,<script src=""https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.3/owl.carousel.min.js"">,<script src=""https://kit.fontawesome.com/8e9e498e07.js"" crossorigin=""anonymous"">,<script src=""https://www.google.com/recaptcha/api.js"" async="""" defer="""">",,,,5.92
237d0fec-60c9-5872-81d1-def01a6aed31,Leaked Information,Credentials at Risk For Up to Two Years,historical_compromised_credentials_found,INFO,"Ensure employees are not using the affected credentials for any corporate or third'-party logins. Ensure that all passwords have been changed since the indication of breach. In the case of corporate passwords, check logs for repeated failed login attempts or repeated password reset attempts from suspicious IP addresses. See additional recommendations in the MITRE ATT&CK Mitigations site.",10/08/2025,10/08/2025,175.157.15.253,hxxps://www.hnbgeneral.com/payonline/create_user.php,,,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
7ea4865e-3c5f-5647-b2cd-c838bcbeb51b,Leaked Information,Credentials at Risk For Up to Two Years,historical_compromised_credentials_found,INFO,"Ensure employees are not using the affected credentials for any corporate or third'-party logins. Ensure that all passwords have been changed since the indication of breach. In the case of corporate passwords, check logs for repeated failed login attempts or repeated password reset attempts from suspicious IP addresses. See additional recommendations in the MITRE ATT&CK Mitigations site.",10/13/2024,10/13/2024,5.154.181.36,hxxps://www.hnbgeneral.com/payonline/index.php,,,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
f4afeef9-e66c-50e2-b33b-9063445fcfea,Leaked Information,Credentials at Risk For Up to Two Years,historical_compromised_credentials_found,INFO,"Ensure employees are not using the affected credentials for any corporate or third'-party logins. Ensure that all passwords have been changed since the indication of breach. In the case of corporate passwords, check logs for repeated failed login attempts or repeated password reset attempts from suspicious IP addresses. See additional recommendations in the MITRE ATT&CK Mitigations site.",03/24/2024,10/13/2024,5.154.181.25,hxxps://www.hnbgeneral.com/payonline/index.php,,,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
a6256cc7-1510-5249-89e4-6d0f87ff3aa7,Network Security,Cloud Provider Service Used,service_cloud_provider,INFO,"Identification of a cloud provider service could be useful information to your customers and partners, and there is no recommended action.",04/20/2025,02/27/2026,129.150.52.232,,,,5000,active,,,,,,"HTTP/1.1 200 OK\r\nServer: Werkzeug/3.1.4 Python/3.10.19\r\nDate: Fri, 27 Feb 2026 15:49:33 GMT\r\nContent-Type: text/html; charset=utf-8\r\nContent-Length: 5132\r\nConnection: close\r\n\r\n<html>\n\n<head>\n  <title>Chatbot Widget</title>\n  <link href=""https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css"" rel=""stylesheet"">\n  <script src=""https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js""></script>\n\n\n  </style>\n  <!--Let browser know website is optimized for mobile-->\n  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />\n  <meta content=""text/html;charset=utf-8"" http-equiv=""Content-Type"" />\n  <meta content=""utf-8"" http-equiv=""encoding"" />\n\n  <!-- Bhushan -->\n  <meta charset=""UTF-8"">\n  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">\n\n  <!--Import Google Icon Font-->\n  <link href=""https://fonts.googleapis.com/icon?family=Material+Icons"" rel=""stylesheet"" />\n  <link rel=""preconnect"" href=""https://fonts.gstatic.com"" />\n  <link href=""https://fonts.googleapis.com/css2?family=Open+Sans&display=swap"" rel=""stylesheet"" />\n  <link href=""https://fonts.googleapis.com/css?family=Raleway:500&display=swap"" rel=""stylesheet"" />\n\n  <link rel=""preconnect"" href=""https://fonts.gstatic.com"" />\n  <link href=""https://fonts.googleapis.com/css2?family=Roboto:wght@300&display=swap"" rel=""stylesheet"" />\n\n  <link rel=""preconnect"" href=""https://fonts.gstatic.com"" />\n  <link href=""https://fonts.googleapis.com/css2?family=Lato&display=swap"" rel=""stylesheet"" />\n\n  <!--Import Font Awesome Icon Font-->\n  <link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css""\n    integrity=""sha256-eZrrJcwDc/3uDhsdt61sL2oOBY362qM3lon1gyExkL0="" crossorigin=""anonymous"" />\n\n  <!--Import materialize.css-->\n  <link rel=""stylesheet"" type=""text/css"" href=""static/css/materialize.min.css"" />\n\n  <!--Main css-->\n  <link rel=""stylesheet"" type=""text/css"" href=""static/css/style.css"" />\n  <!-- <meta name=""viewport"" content=""width=device-width, initial-scale=1"" /> -->\n</head>\n\n<body style=""background: none !important; overflow: hidden;"">\n  <div class=""container"">\n    <!-- Modal for rendering the charts, declare this if you want to render charts, \n         else you remove the modal -->\n    <div id=""modal1"" class=""modal"">\n      <canvas id=""modal-chart""></canvas>\n    </div>\n\n    <div class=""container"">\n\n      <div class=""row justify-content-end"">\n        <!--chatbot widget -->\n        <div class=""col-12 col-sm-8 col-md-6 widget"" style=""border: none; padding-left: 0; padding-right: 0;"">\n          <div class=""chat_header d-flex justify-content-between align-items-center p-2""> \n            <div class=""row w-100"">\n                <div class=""col-8 col-md-6"">\n                    <span class=""chat_header_title""><b>HNBGI Nexa</b></span>\n                </div>\n                <div class=""col-4 col-md-6 text-end"" style=""padding: 3px;"">\n                    <a href=""#"" id=""close"" class=""closer me-3"" style=""font-size: 27px; color: aliceblue;"">\xC3\x97</a>\n                    <a href=""#"" id=""restart"" class=""home"" style=""margin-right: 14px;"">\n                        <i class=""fa fa-home"" aria-hidden=""true"" style=""font-size: 25px; color: white;""></i>\n                    </a>\n                </div>\n            </div>\n        </div>\n\n          <!--Chatbot contents goes here -->\n          <div class=""chats"" id=""chats"">\n            <div class=""clearfix"">\n            </div>\n          </div>\n\n          <!--keypad for user to type the message -->\n          <div class=""keypad"">\n            <textarea id=""userInput"" placeholder=""Type a message..."" class=""usrInput""></textarea>\n            <div id=""sendButton"">\n\n\n              <div id=""sendButtonnew"" style=""display: inline; width: 20%;"">\n\n                <span id=""mic"" style=""padding-right: 7px;""><i class=""fa fa-microphone voicerecord"" style=""display: inline;""\n                    onclick=""listen()""></i></span>\n                <span id=""sendButton""><i class=""fa fa-paper-plane micandsend"" aria-hidden=""true""\n                    style=""display: inline;""></i></span>\n              </div>\n            </div>\n          </div>\n        </div>\n      </div>\n\n    </div>\n\n\n    <!--bot profile-->\n    <div class=""profile_div"" id=""profile_div"">\n      <img class=""imgProfile"" src=""static/img/HNB.png"" /> <!--static/img/botAvatar.png-->\n    </div>\n\n    <!-- Bot pop-up intro -->\n    <!-- <div class=""tap-target"" data-target=""profile_div"">\n        <div class=""tap-target-content"">\n          <h5 class=""white-text"">Hello there \xF0\x9F\x91\x8B</h5>\n          <p class=""white-text"">\n            AcclBot welcomes you to the world of Prudential Insurance.\n          </p>\n        </div>\n      </div> -->\n  </div>\n  \n\n  <!--JavaScript at end of body for optimized loading-->\n  <script src=""https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js""></script>\n  <script type=""text/javascript"" src=""static/js/lib/materialize.min.js""></script>\n  <script src=""static/js/lib/uuid.min.js""></script>\n\n  <!--Main Script -->\n  <script type=""text/javascript"" src=""static/js/lib/showdown.min.js""></script>\n  <script type=""text/javascript"" src=""static/js/script.js""></script>\n\n  \n  <!--Chart.js Script -->\n  <script type=""text/javascript"" src=""static/js/lib/chart.min.js""></script>\n  \n</body>\n\n</html>",,,,,,,Oracle Corporation,,,,,,,,,,,,,,,,0.00
829db741-8782-5bb8-9e9f-9e32a345bb4c,Network Security,Cloud Provider Service Used,service_cloud_provider,INFO,"Identification of a cloud provider service could be useful information to your customers and partners, and there is no recommended action.",05/02/2025,02/27/2026,129.150.52.232,,,,5005,active,,,,,,HTTP/1.1 200 OK\r\nAccess-Control-Allow-Origin: *\r\nAccess-Control-Expose-Headers: filename\r\nAccess-Control-Allow-Credentials: true\r\ncontent-length: 23\r\nconnection: keep-alive\r\ncontent-type: text/plain; charset=utf-8\r\n\r\nHello from Rasa: 3.6.20,,,,,,,Oracle Corporation,,,,,,,,,,,,,,,,0.00
5c2df409-a985-5b3c-acf2-74d259f5bdeb,Network Security,Cloud Provider Service Used,service_cloud_provider,INFO,"Identification of a cloud provider service could be useful information to your customers and partners, and there is no recommended action.",04/20/2025,02/27/2026,129.150.52.232,,,,80,active,,,,,,"HTTP/1.1 301 Moved Permanently\r\nServer: nginx/1.18.0 (Ubuntu)\r\nDate: Fri, 27 Feb 2026 15:49:28 GMT\r\nContent-Type: text/html\r\nContent-Length: 178\r\nConnection: close\r\nLocation: https://hnbginexauat.hnbgeneral.com/\r\n\r\n<html>\r\n<head><title>301 Moved Permanently</title></head>\r\n<body>\r\n<center><h1>301 Moved Permanently</h1></center>\r\n<hr><center>nginx/1.18.0 (Ubuntu)</center>\r\n</body>\r\n</html>\r\n",,,,,,,nginx,1.18.0,,,,,,,,,,,,,,,0.00
