Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,IP Address,Port,CVE Publish Date,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
ae4a4b7e-c7ff-5d90-9602-2aaae6361f77,2025-05-07T05:47:49,2026-02-28T11:44:17,,CVE-2024-6387,,,,,,22,,,,146.190.102.247,22,2024-07-01,2026-02-28T11:44:17,,,,,,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",,,,0,,0
9060219a-1240-5c53-9aee-633addbb1723,2026-02-25T18:52:18,2026-02-28T11:44:17,,CVE-2024-39894,,,,,,22,,,,146.190.102.247,22,2024-07-02,2026-02-28T11:44:17,,,,,,"OpenSSH 9.5 through 9.7 before 9.8 sometimes allows timing attacks against echo-off password entry (e.g., for su and Sudo) because of an ObscureKeystrokeTiming logic error. Similarly, other timing attacks against keystroke entry could occur.",,,,0,,0
11b9424d-4b57-5f05-90eb-948f11f63841,2024-07-05T08:49:14,2026-02-27T06:57:30,,CVE-2024-6387,,,,,,22,,,,134.209.100.157,22,2024-07-01,2026-02-27T06:57:30,,,,,,"A security regression (CVE-2006-5051) was discovered in OpenSSH's server (sshd). There is a race condition which can lead sshd to handle some signals in an unsafe manner. An unauthenticated, remote attacker may be able to trigger it by failing to authenticate within a set time period.",,,,0,,0
06ee8d34-15d4-53f1-bdaf-1a9663ea09b9,2024-02-29T22:45:30,2026-02-27T06:57:30,,CVE-2021-41617,,,,,,22,,,,134.209.100.157,22,2021-09-26,2026-02-27T06:57:30,,,,,,"sshd in OpenSSH 6.2 through 8.x before 8.8, when certain non-default configurations are used, allows privilege escalation because supplemental groups are not initialized as expected. Helper programs for AuthorizedKeysCommand and AuthorizedPrincipalsCommand may run with privileges associated with group memberships of the sshd process, if the configuration specifies running the command as a different user.",,,,0,,0
ac19375c-92df-5bd4-8071-9d6b9539eda1,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2024-42516,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"HTTP response splitting in the core of Apache HTTP Server allows an attacker who can manipulate the Content-Type response headers of applications hosted or proxied by the server can split the HTTP response.

This vulnerability was described as CVE-2023-38709 but the patch included in Apache HTTP Server 2.4.59 did not address the issue.

Users are recommended to upgrade to version 2.4.64, which fixes this issue.",,,,0,,0
bf7670ed-5fde-5079-832e-190f25237d51,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-30522,,,,,,80,,,,146.190.102.247,80,2022-06-09,2026-02-13T16:07:30,,,,,,"If Apache HTTP Server 2.4.53 is configured to do transformations with mod_sed in contexts where the input to mod_sed may be very large, mod_sed may make excessively large memory allocations and trigger an abort.",,,,0,,0
2c2b2942-02ed-5b4f-846c-826c913c0b13,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2024-43394,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"Server-Side Request Forgery (SSRF)\xC2\xA0in Apache HTTP Server on Windows allows to potentially leak NTLM hashes to a malicious server via\xC2\xA0
mod_rewrite or apache expressions that pass unvalidated request input.

This issue affects Apache HTTP Server: from 2.4.0 through 2.4.63.

Note: \xC2\xA0The Apache HTTP Server Project will be setting a higher bar for accepting vulnerability reports regarding SSRF via UNC paths. 

The server offers limited protection against administrators directing the server to open UNC paths.
Windows servers should limit the hosts they will connect over via SMB based on the nature of NTLM authentication.",,,,0,,0
422a4b1e-dc0f-525d-84c0-a03f4f559f01,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2023-27522,,,,,,80,,,,146.190.102.247,80,2023-03-07,2026-02-13T16:07:30,,,,,,"HTTP Response Smuggling vulnerability in Apache HTTP Server via mod_proxy_uwsgi. This issue affects Apache HTTP Server: from 2.4.30 through 2.4.55.

Special characters in the origin response header can truncate/split the response forwarded to the client.",,,,0,,0
908d94f2-774a-5438-85b6-09c00791ba56,2025-07-15T13:01:23,2026-02-13T16:07:30,,CVE-2025-49630,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"In certain proxy configurations, a denial of service attack against\xC2\xA0Apache HTTP Server versions 2.4.26 through to 2.4.63 can be triggered by untrusted clients causing an assertion in mod_proxy_http2.

Configurations affected are a reverse proxy is configured for an HTTP/2 backend, with ProxyPreserveHost set to ""on"".",,,,0,,0
149c382f-f0ff-5854-86d6-a4f348fe3101,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-30556,,,,,,443,,,,146.190.102.247,443,2022-06-09,2026-02-13T16:07:30,,,,,,Apache HTTP Server 2.4.53 and earlier may return lengths to applications calling r:wsread() that point past the end of the storage allocated for the buffer.,,,,0,,0
8bff3178-ba87-577c-87b9-3da6e3bb84eb,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-26377,,,,,,443,,,,146.190.102.247,443,2022-06-09,2026-02-13T16:07:30,,,,,,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling') vulnerability in mod_proxy_ajp of Apache HTTP Server allows an attacker to smuggle requests to the AJP server it forwards requests to. This issue affects Apache HTTP Server Apache HTTP Server 2.4 version 2.4.53 and prior versions.,,,,0,,0
4d52ddab-6350-52dd-88d2-8edd618011bb,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2025-53020,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"Late Release of Memory after Effective Lifetime vulnerability in Apache HTTP Server.

This issue affects Apache HTTP Server: from 2.4.17 up to 2.4.63.

Users are recommended to upgrade to version 2.4.64, which fixes the issue.",,,,0,,0
